train_id,train_type,scheduled_time,time_of_day,day_of_week,weather,congestion,historical_delay,actual_delay
1000,Express,2025-09-01 06:00:00,6.0,0,Fog,0.6295377076201385,9.589132583813546,9.823285958536882
1001,Express,2025-09-01 06:05:00,6.083333333333333,0,Rain,0.4531726086101639,9.644896011828674,8.877461282675766
1002,Express,2025-09-01 06:10:00,6.166666666666667,0,Fog,0.4061051228130096,6.058333131237524,6.521750824049986
1003,Express,2025-09-01 06:15:00,6.25,0,Clear,0.4068540492859486,-0.5622875292409727,0.0
1004,Local,2025-09-01 06:20:00,6.333333333333333,0,Clear,0.3183951848957578,2.5514124756255177,1.0857637067039638
1005,Express,2025-09-01 06:25:00,6.416666666666667,0,Clear,0.45484473990269286,2.751225580075658,2.6403029903657917
1006,Local,2025-09-01 06:30:00,6.5,0,Clear,0.379872262016239,3.0941394602814833,3.6958460725108804
1007,Express,2025-09-01 06:35:00,6.583333333333333,0,Clear,0.8704556369017875,6.646979995646081,7.867823645617103
1008,Express,2025-09-01 06:40:00,6.666666666666667,0,Clear,0.23436279022031387,3.538365793055541,2.7998992130601303
1009,Express,2025-09-01 06:45:00,6.75,0,Clear,0.534273656237994,3.6732416770621947,3.9743453726514835
1010,Express,2025-09-01 06:50:00,6.833333333333333,0,Clear,0.4078722458080425,5.905096216854547,5.561477927286086
1011,Express,2025-09-01 06:55:00,6.916666666666667,0,Rain,0.1473919689274532,3.14218410179367,2.530507812952802
1012,Express,2025-09-01 07:00:00,7.0,0,Rain,0.7061999044991902,8.260542142004901,9.09975966522754
1013,Freight,2025-09-01 07:05:00,7.083333333333333,0,Clear,0.43815752482975706,5.4849376966241445,5.670596673287962
1014,Express,2025-09-01 07:10:00,7.166666666666667,0,Clear,0.6625051644788396,7.615500922434348,7.687511044014682
1015,Express,2025-09-01 07:15:00,7.25,0,Clear,0.7007065795784049,7.465067254953226,5.927030688487257
1016,Freight,2025-09-01 07:20:00,7.333333333333333,0,Clear,0.0,5.7308520769886195,5.643805008750448
1017,Express,2025-09-01 07:25:00,7.416666666666667,0,Clear,0.4401985299068265,3.5589599752776815,3.2018474037659352
1018,Local,2025-09-01 07:30:00,7.5,0,Clear,0.33830127942136246,3.941695707061176,3.026293589359102
1019,Freight,2025-09-01 07:35:00,7.583333333333333,0,Clear,0.5657502219319369,8.557301420820592,7.588656430287703
1020,Freight,2025-09-01 07:40:00,7.666666666666667,0,Rain,0.35958938122452955,7.110103841019483,7.502211994151641
1021,Freight,2025-09-01 07:45:00,7.75,0,Rain,0.20729701037357628,7.019421842151233,7.2540089755263795
1022,Local,2025-09-01 07:50:00,7.833333333333333,0,Clear,0.4314570966946461,2.8229023300586293,2.9841880417246385
1023,Local,2025-09-01 07:55:00,7.916666666666667,0,Clear,0.5808101713629077,5.925515893856808,5.999961809622976
1024,Freight,2025-09-01 08:00:00,8.0,0,Clear,0.11624575694019168,4.704677000683743,4.644446790742717
1025,Express,2025-09-01 08:05:00,8.083333333333334,0,Clear,0.9926484224970573,6.872715947753711,6.571168605420099
1026,Express,2025-09-01 08:10:00,8.166666666666666,0,Clear,0.7285645629030041,7.66628538983462,6.875253442791573
1027,Express,2025-09-01 08:15:00,8.25,0,Clear,0.3181225090410522,6.272904867656832,4.082449241846854
1028,Express,2025-09-01 08:20:00,8.333333333333334,0,Rain,0.3018927349738623,3.7784123157252716,3.6787609506376304
1029,Local,2025-09-01 08:25:00,8.416666666666666,0,Clear,0.39930486917676017,1.3630653277343223,1.294502352928295
1030,Local,2025-09-01 08:30:00,8.5,0,Clear,0.31611515315323935,6.213306436618278,6.996559728954515
1031,Freight,2025-09-01 08:35:00,8.583333333333334,0,Rain,0.4355876967588649,9.009696298858575,10.24056061529253
1032,Freight,2025-09-01 08:40:00,8.666666666666666,0,Clear,0.17850335308775445,5.700170629839558,5.440287835591135
1033,Express,2025-09-01 08:45:00,8.75,0,Clear,0.656364574355462,6.279055250599754,5.982070577366568
1034,Freight,2025-09-01 08:50:00,8.833333333333334,0,Clear,0.3639950556843018,6.9415502017265,6.648477728427818
1035,Express,2025-09-01 08:55:00,8.916666666666666,0,Clear,0.35712971639472646,7.348160241569659,6.874327320657872
1036,Local,2025-09-01 09:00:00,9.0,0,Clear,0.3050636659545357,6.563146782219523,5.404551203212119
1037,Local,2025-09-01 09:05:00,9.083333333333334,0,Rain,0.33586353632965793,9.556094520620876,7.659301537966928
1038,Express,2025-09-01 09:10:00,9.166666666666666,0,Clear,0.32209711407489533,1.223860405104391,1.3009621145184953
1039,Freight,2025-09-01 09:15:00,9.25,0,Clear,0.5682303949633287,8.888920230693104,7.435386153535787
1040,Local,2025-09-01 09:20:00,9.333333333333334,0,Clear,0.6251334695530013,2.965593206424331,4.036485704485443
1041,Freight,2025-09-01 09:25:00,9.416666666666666,0,Fog,0.5964944830486371,9.846041821732213,9.13204132764012
